date_capteur,date_satellite,days_diff,station_id,latitude,longitude,pH,oxygene_dissous,COD,CODMn,NH4N,TPH,DIP,DIN,quality_score,NDWI,chlorophyll_index,turbidity_index,is_interpolated
2018-10-15,2018-10-15,0,62,19.2720963,108.6903554,7.2823529411764705,6.802941176470588,0.86,2.0647058823529414,0.08352941176470588,0.014,0.008,0.145,10.0,-0.6017096750139215,0.8237598676433889,69973.52941176471,True
2018-10-22,2018-10-22,0,62,19.2720963,108.6903554,7.284313725490196,6.803725490196078,0.86,2.0686274509803924,0.08313725490196078,0.014,0.008,0.145,10.0,-0.6049410289846173,0.8200279537677106,68809.80392156863,True
2018-10-29,2018-10-29,0,62,19.2720963,108.6903554,7.286274509803921,6.804509803921568,0.86,2.0725490196078433,0.08274509803921569,0.014,0.008,0.145,10.0,-0.6081723829553132,0.8162960398920323,67646.07843137255,True
2018-11-05,2018-11-05,0,62,19.2720963,108.6903554,7.288235294117647,6.805294117647058,0.86,2.0764705882352943,0.08235294117647059,0.014,0.008,0.145,10.0,-0.611403736926009,0.812564126016354,66482.35294117648,True
2018-11-12,2018-11-12,0,62,19.2720963,108.6903554,7.290196078431372,6.806078431372549,0.86,2.0803921568627453,0.0819607843137255,0.014,0.008,0.145,10.0,-0.6146350908967049,0.8088322121406757,65318.62745098039,True
2018-11-19,2018-11-19,0,62,19.2720963,108.6903554,7.292156862745098,6.806862745098039,0.86,2.0843137254901962,0.0815686274509804,0.014,0.008,0.145,10.0,-0.6178664448674007,0.8051002982649973,64154.90196078432,True
2018-11-26,2018-11-26,0,62,19.2720963,108.6903554,7.294117647058823,6.807647058823529,0.86,2.088235294117647,0.0811764705882353,0.014,0.008,0.145,10.0,-0.6210977988380965,0.8013683843893191,62991.17647058824,True
2018-12-03,2018-12-03,0,62,19.2720963,108.6903554,7.296078431372549,6.808431372549019,0.86,2.092156862745098,0.08078431372549019,0.014,0.008,0.145,10.0,-0.6243291528087922,0.7976364705136407,61827.450980392154,True
2018-12-10,2018-12-10,0,62,19.2720963,108.6903554,7.298039215686274,6.809215686274509,0.86,2.096078431372549,0.08039215686274509,0.014,0.008,0.145,10.0,-0.627560506779488,0.7939045566379624,60663.725490196084,True
2018-12-17,2018-12-17,0,62,19.2720963,108.6903554,7.3,6.81,0.86,2.1,0.08,0.014,0.008,0.145,10.0,-0.6307918607501839,0.7901726427622842,59500.0,False
2018-12-24,2018-12-27,3,62,19.2720963,108.6903554,7.5,6.89,0.86,2.7,0.1,0.014,0.008,0.145,10.0,-0.5603830880635365,0.869287991498406,81800.0,False
2018-02-26,2018-02-13,13,63,42.2059018,123.5529584,8.4,9.91,0.86,3.3,0.26,0.014,0.008,0.145,10.0,-0.294061757719715,1.32907133243607,197500.0,False
2018-03-05,2018-03-05,0,63,42.2059018,123.5529584,8.4,8.735,0.86,2.95,0.24,0.014,0.008,0.145,10.0,-0.294061757719715,1.32907133243607,197500.0,True
2018-03-12,2018-02-13,27,63,42.2059018,123.5529584,8.4,7.56,0.86,2.6,0.22,0.014,0.008,0.145,10.0,-0.294061757719715,1.32907133243607,197500.0,False
2018-03-19,2018-03-19,0,63,42.2059018,123.5529584,8.375757575757577,7.599090909090909,0.86,2.6121212121212123,0.2206060606060606,0.014,0.008,0.145,10.0,-0.29801659623037297,1.3303239329668055,195696.9696969697,True
